,Partition_1,Partition_2,Partition_3,Partition_4,Partition_5,Partition_6,Partition_7,Partition_8,Partition_9,Partition_10,Recall
partition_01_replis,1000,830,839,837,846,847,840,852,849,830,84.11111111111111
partition_02_replis,839,1000,822,819,827,850,844,828,845,820,83.26666666666667
partition_03_replis,841,827,1000,830,832,848,842,830,843,809,83.35555555555555
partition_04_replis,832,822,829,1000,825,854,829,834,837,816,83.08888888888889
partition_05_replis,846,836,815,814,1000,846,841,836,829,813,83.06666666666666
partition_06_replis,814,814,805,802,816,1000,820,821,833,793,81.31111111111112
partition_07_replis,814,832,815,805,829,825,1000,827,823,799,81.87777777777778
partition_08_replis,841,816,816,806,832,838,820,1000,841,818,82.53333333333333
partition_09_replis,838,842,823,820,824,857,840,852,1000,819,83.5
partition_10_replis,836,843,827,836,821,843,844,858,851,1000,83.9888888888889
